20110208,0,58.7567,59.0424,57.4858,59.0424,732947.677
20110209,0,58.7567,59.3479,57.7223,57.9489,849421.662
20110210,0,57.7814,58.7863,57.3085,58.5597,1080858.27
20110211,0,58.3328,58.9344,58.0665,58.4117,948612.815
20110214,0,58.3328,59.5261,58.2243,59.2598,919791.645
20110215,0,59.1316,59.7135,58.8456,59.4176,940149.975000001
20110216,0,59.4472,61.4689,59.3486,60.8278,1221517.252
20110217,0,60.3939,60.8476,59.6839,60.7292,1365977.074
20110218,0,60.8673,61.7549,60.6898,61.2815,1168888.134
20110222,0,60.9265,62.1197,60.0488,60.9166,1204985.793
20110223,0,60.9955,62.8692,60.9067,62.2578,1083379.827
20110224,0,62.4452,62.741,60.6503,61.0547,1075950.191
20110225,0,61.5379,63.9639,61.1336,63.9146,1091567.968
20110228,0,64.102,64.5951,62.6227,64.102,1296289.496
20110301,0,64.7824,64.9895,62.2381,62.4353,1503873.097
20110302,0,62.2085,63.6385,62.1197,62.958,1491401.923
20110303,0,63.1158,63.5892,62.5931,63.4807,911615.793999999
20110304,0,63.5103,63.7864,62.4057,63.1454,687458.842
20110307,0,63.3426,63.7963,61.7154,62.4846,1043708.729
20110308,0,62.7706,62.9876,61.5971,62.2973,858170.306
20110309,0,62.3268,62.8594,61.2913,61.5576,1116146.51
20110310,0,60.8771,60.8771,59.0626,59.6641,1224937.419
20110311,0,59.2499,61.1829,58.6878,60.8476,855926.228
20110314,0,60.3446,61.2125,59.6148,61.0842,913602.071
20110315,0,58.9837,61.5182,58.3229,61.0645,1612532.38
20110316,0,60.818,61.5083,59.0133,59.6937,1523788.248
20110317,0,61.0744,62.7312,60.7095,62.3466,1714488.136
20110318,0,63.175,63.4905,60.0586,60.3939,1673617.142
20110321,0,61.4689,62.5044,61.4097,62.4057,1046267.289
20110322,0,62.8101,62.8101,61.9422,62.3268,782175.447
20110323,0,62.2775,62.9679,61.9718,62.8199,1210057.112
20110324,0,63.2045,63.3327,62.317,63.2144,1472547.364
20110325,0,63.3722,64.8515,63.0369,64.5458,1352650.058
20110328,0,65.0388,66.0941,64.388,65.3544,1352026.403
20110329,0,65.0783,67.0704,64.7824,67.0704,1560967.043
20110330,0,67.5832,68.7568,66.2913,66.7252,1647596.627
20110331,0,66.6858,68.1453,66.6167,67.7213,1235451.717
20110401,0,68.382,68.7962,67.741,67.9777,956997.574
20110404,0,67.3071,68.4806,67.3071,67.741,826002.907
20110405,0,67.7015,68.0566,67.1197,67.7213,743190.845
20110406,0,68.3524,68.4708,65.67,66.1532,833164.76
20110407,0,66.3406,67.3465,66.1927,66.5674,846999.043
20110408,0,67.958,69.4964,67.7015,68.027,1429264.423
