Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-12-07,16:00:00,87.185,87.254,85.607,86.56,442210,0
2015-12-07,17:00:00,86.565,86.877,85.935,86.133,390536,0
2015-12-07,18:00:00,86.113,86.679,85.616,86.609,260474,0
2015-12-07,19:00:00,86.56,86.877,86.243,86.342,308300,0
2015-12-07,20:00:00,86.351,86.51,85.855,86.084,278954,0
2015-12-07,21:00:00,86.074,86.322,85.617,85.627,253291,0
2015-12-07,22:00:00,85.647,86.055,85.449,85.965,558595,0
2015-12-08,16:00:00,84.715,85.687,83.794,85.341,401255,0
2015-12-08,17:00:00,85.341,86.302,85.321,85.925,389332,0
2015-12-08,18:00:00,85.975,86.619,85.9,86.49,218659,0
2015-12-08,19:00:00,86.451,86.609,86.074,86.491,445894,0
2015-12-08,20:00:00,86.481,86.768,86.411,86.674,461677,0
2015-12-08,21:00:00,86.649,87.036,86.639,86.699,231037,0
2015-12-08,22:00:00,86.679,86.679,86.123,86.371,458399,0
2015-12-09,16:00:00,85.807,86.015,84.656,84.933,408969,0
2015-12-09,17:00:00,84.894,85.875,84.517,85.429,554709,0
2015-12-09,18:00:00,85.399,85.569,84.686,84.854,749376,0
2015-12-09,19:00:00,84.874,84.894,83.396,83.486,473858,0
2015-12-09,20:00:00,83.476,84.2,83.218,83.992,393147,0
2015-12-09,21:00:00,84.012,84.23,83.585,83.974,242050,0
2015-12-09,22:00:00,83.972,84.557,83.813,83.972,678536,0
2015-12-10,16:00:00,83.803,85.176,83.803,84.403,81926,0
2015-12-10,17:00:00,84.468,85.112,84.22,84.517,283439,0
2015-12-10,18:00:00,84.507,84.656,83.466,84.071,300863,0
2015-12-10,19:00:00,84.071,84.874,84.031,84.805,210152,0
2015-12-10,20:00:00,84.785,85.053,84.75,84.854,238553,0
2015-12-10,21:00:00,84.835,85.459,84.775,85.24,326544,0
2015-12-10,22:00:00,85.231,85.281,84.012,84.18,672272,0
2015-12-11,16:00:00,82.375,82.861,81.057,81.869,726475,0
2015-12-11,17:00:00,81.899,82.444,81.493,81.493,462724,0
2015-12-11,18:00:00,81.493,81.641,81.047,81.185,395985,0
2015-12-11,19:00:00,81.185,81.265,80.13,80.411,654121,0
2015-12-11,20:00:00,80.382,81.324,80.382,81.225,397309,0
2015-12-11,21:00:00,81.195,81.699,80.957,80.957,403898,0
2015-12-11,22:00:00,80.968,81.185,80.659,80.749,750167,0
2015-12-14,16:00:00,78.974,79.321,77.675,78.378,862492,0
2015-12-14,17:00:00,78.408,79.321,77.03,77.06,735535,0
2015-12-14,18:00:00,77.05,77.11,75.811,76.445,722413,0
2015-12-14,19:00:00,76.415,76.961,76.148,76.574,534521,0
2015-12-14,20:00:00,76.555,76.673,76.097,76.653,515214,0
2015-12-14,21:00:00,76.653,77.139,76.405,77.111,555641,0
2015-12-14,22:00:00,77.1,77.854,77.09,77.794,779807,0
2015-12-15,16:00:00,77.526,78.122,76.366,77.149,757541,0
2015-12-15,17:00:00,77.268,77.952,77.199,77.536,585553,0
2015-12-15,18:00:00,77.536,77.804,76.207,76.217,470292,0
2015-12-15,19:00:00,76.207,77.149,76.207,77.12,345560,0
2015-12-15,20:00:00,77.139,77.159,76.465,76.911,355207,0
2015-12-15,21:00:00,76.911,77.437,76.852,77.353,454247,0
2015-12-15,22:00:00,77.397,77.397,76.981,77.129,844744,0
2015-12-16,16:00:00,77.596,78.796,77.368,77.726,411687,0
2015-12-16,17:00:00,77.814,77.878,76.594,76.901,399539,0
2015-12-16,18:00:00,76.881,77.06,76.489,76.837,273491,0
2015-12-16,19:00:00,76.783,77.129,76.773,76.852,148941,0
2015-12-16,20:00:00,76.862,77.645,76.783,77.377,229270,0
