Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-12-07,16:00:00,55.007,55.007,54.544,54.731,3383687,0
2015-12-07,17:00:00,54.721,54.859,54.653,54.801,4576534,0
2015-12-07,18:00:00,54.791,54.83,54.559,54.761,3113173,0
2015-12-07,19:00:00,54.751,54.821,54.563,54.593,2110891,0
2015-12-07,20:00:00,54.583,54.83,54.515,54.791,2860769,0
2015-12-07,21:00:00,54.791,55.012,54.721,54.736,3112402,0
2015-12-07,22:00:00,54.74,55.185,54.633,55.027,9757811,0
2015-12-08,16:00:00,54.692,54.919,54.219,54.598,4926190,0
2015-12-08,17:00:00,54.603,54.84,54.421,54.761,4195800,0
2015-12-08,18:00:00,54.761,55.037,54.692,54.964,4264453,0
2015-12-08,19:00:00,54.964,54.978,54.721,54.969,2107555,0
2015-12-08,20:00:00,54.978,55.151,54.929,55.15,3040230,0
2015-12-08,21:00:00,55.145,55.313,55.087,55.185,3851599,0
2015-12-08,22:00:00,55.185,55.225,54.909,55.007,8396765,0
2015-12-09,16:00:00,54.593,54.959,54.347,54.889,3265330,0
2015-12-09,17:00:00,54.899,55.087,54.796,54.859,4743276,0
2015-12-09,18:00:00,54.869,54.939,54.337,54.525,3846083,0
2015-12-09,19:00:00,54.525,54.663,53.884,53.933,5082872,0
2015-12-09,20:00:00,53.933,54.111,53.795,53.953,4743672,0
2015-12-09,21:00:00,53.953,54.011,53.745,53.815,3683686,0
2015-12-09,22:00:00,53.825,54.357,53.805,54.209,8296772,0
2015-12-10,16:00:00,54.613,54.731,54.239,54.544,1300346,0
2015-12-10,17:00:00,54.544,54.806,54.392,54.673,4403851,0
2015-12-10,18:00:00,54.663,54.771,54.525,54.633,2835882,0
2015-12-10,19:00:00,54.623,54.643,54.249,54.525,2955206,0
2015-12-10,20:00:00,54.535,54.658,54.406,54.47,2269384,0
2015-12-10,21:00:00,54.465,54.874,54.455,54.701,3093909,0
2015-12-10,22:00:00,54.706,54.73,54.308,54.495,10885853,0
2015-12-11,16:00:00,53.943,54.126,53.617,54.115,4599085,0
2015-12-11,17:00:00,54.12,54.327,53.963,53.982,5259142,0
2015-12-11,18:00:00,53.982,54.071,53.539,53.539,4143210,0
2015-12-11,19:00:00,53.539,53.834,53.361,53.726,4235279,0
2015-12-11,20:00:00,53.716,53.913,53.496,53.805,2859682,0
2015-12-11,21:00:00,53.805,53.923,53.524,53.558,3222360,0
2015-12-11,22:00:00,53.553,53.706,53.253,53.302,12565489,0
2015-12-14,16:00:00,53.568,53.607,52.976,53,5162542,0
2015-12-14,17:00:00,53.006,53.667,52.927,53.307,7838012,0
2015-12-14,18:00:00,53.312,53.548,53.124,53.489,4688758,0
2015-12-14,19:00:00,53.489,53.825,53.292,53.775,4037085,0
2015-12-14,20:00:00,53.775,53.928,53.647,53.864,3348424,0
2015-12-14,21:00:00,53.864,54.179,53.716,54.12,3921928,0
2015-12-14,22:00:00,54.12,54.435,53.854,54.377,5704228,0
2015-12-15,16:00:00,54.879,55.116,54.669,54.992,6384672,0
2015-12-15,17:00:00,54.997,55.007,54.692,54.711,7379146,0
2015-12-15,18:00:00,54.701,54.746,54.317,54.485,4784522,0
2015-12-15,19:00:00,54.475,54.801,54.455,54.801,4614306,0
2015-12-15,20:00:00,54.801,54.816,54.563,54.721,3056201,0
2015-12-15,21:00:00,54.731,54.859,54.643,54.701,2550815,0
2015-12-15,22:00:00,54.701,54.716,54.357,54.425,7712021,0
2015-12-16,16:00:00,54.761,55.007,54.633,54.663,3694181,0
2015-12-16,17:00:00,54.663,54.791,54.554,54.701,4519356,0
2015-12-16,18:00:00,54.692,54.751,54.337,54.387,2449280,0
2015-12-16,19:00:00,54.387,54.499,54.199,54.239,2576483,0
2015-12-16,20:00:00,54.249,54.593,54.199,54.559,3050212,0
2015-12-16,21:00:00,54.544,55.195,53.992,55.103,4072099,0
2015-12-16,22:00:00,55.107,55.456,54.939,55.353,3178047,0
2015-12-17,16:00:00,55.569,55.993,55.411,55.807,6015239,0
2015-12-17,17:00:00,55.816,55.826,54.959,55.087,7482040,0
2015-12-17,18:00:00,55.087,55.23,54.84,54.959,3913003,0
2015-12-17,19:00:00,54.959,55.205,54.756,55.135,3290011,0
2015-12-17,20:00:00,55.135,55.609,55.116,55.501,3770867,0
2015-12-17,21:00:00,55.501,55.564,55.225,55.291,3914791,0
2015-12-17,22:00:00,55.283,55.406,54.909,54.919,10278322,0
2015-12-18,16:00:00,54.987,55.215,54.435,54.495,14442134,0
2015-12-18,17:00:00,54.505,54.544,54.081,54.327,10243519,0
2015-12-18,18:00:00,54.323,54.445,54.219,54.297,4101416,0
2015-12-18,19:00:00,54.297,54.327,53.963,54.041,4508140,0
2015-12-18,20:00:00,54.031,54.283,53.982,54.199,3500870,0
2015-12-18,21:00:00,54.199,54.455,54.149,54.179,4486425,0
2015-12-18,22:00:00,54.189,54.258,53.282,53.292,12744002,0
2015-12-21,16:00:00,54.111,54.573,53.933,54.219,5689487,0
2015-12-21,17:00:00,54.224,54.249,53.696,53.785,5387087,0
2015-12-21,18:00:00,53.785,53.883,53.466,53.515,4279455,0
2015-12-21,19:00:00,53.519,53.844,53.509,53.775,3821163,0
2015-12-21,20:00:00,53.785,53.933,53.686,53.923,2179482,0
2015-12-21,21:00:00,53.923,54.002,53.686,53.8,2760858,0
2015-12-21,22:00:00,53.795,54.081,53.637,54.031,10563715,0
2015-12-22,16:00:00,54.219,54.229,53.735,54.081,3415318,0
2015-12-22,17:00:00,54.081,54.367,53.943,54.066,4541880,0
2015-12-22,18:00:00,54.071,54.425,54.002,54.283,3503925,0
2015-12-22,19:00:00,54.287,54.406,54.189,54.327,2534755,0
2015-12-22,20:00:00,54.327,54.475,54.12,54.435,2921072,0
2015-12-22,21:00:00,54.435,54.472,54.317,54.465,2242669,0
2015-12-22,22:00:00,54.46,54.701,54.406,54.535,5297314,0
2015-12-23,16:00:00,54.919,55.087,54.751,54.997,2688836,0
2015-12-23,17:00:00,54.997,55.097,54.766,54.83,4724750,0
2015-12-23,18:00:00,54.83,54.949,54.741,54.919,2406680,0
2015-12-23,19:00:00,54.924,54.959,54.663,54.827,2829854,0
2015-12-23,20:00:00,54.825,54.949,54.761,54.939,2257682,0
2015-12-23,21:00:00,54.929,55.087,54.869,55.077,2786365,0
2015-12-23,22:00:00,55.077,55.087,54.909,55.037,6105548,0
2015-12-24,16:00:00,55.077,55.175,54.971,55.007,1680911,0
2015-12-24,17:00:00,55.007,55.175,54.796,54.879,2381008,0
2015-12-24,18:00:00,54.879,54.929,54.653,54.903,1903909,0
2015-12-24,19:00:00,54.899,55.047,54.869,54.899,2180053,0
2015-12-24,20:00:00,54.889,54.889,54.889,54.889,978268,0
2015-12-28,16:00:00,54.573,54.673,54.258,54.495,2463807,0
2015-12-28,17:00:00,54.505,54.51,54.209,54.268,2766715,0
2015-12-28,18:00:00,54.268,54.563,54.239,54.525,2387344,0
2015-12-28,19:00:00,54.525,54.643,54.445,54.593,1871580,0
2015-12-28,20:00:00,54.593,54.949,54.591,54.83,2518730,0
2015-12-28,21:00:00,54.83,55.116,54.83,55.107,2812839,0
2015-12-28,22:00:00,55.107,55.165,54.978,55.165,4257354,0
2015-12-29,16:00:00,55.501,55.609,55.273,55.609,3334520,0
2015-12-29,17:00:00,55.609,55.845,55.353,55.619,5239094,0
2015-12-29,18:00:00,55.629,55.797,55.599,55.755,2255422,0
2015-12-29,19:00:00,55.747,55.84,55.678,55.811,1932356,0
2015-12-29,20:00:00,55.807,56.053,55.688,56.008,2823453,0
2015-12-29,21:00:00,56.013,56.053,55.865,55.961,2748650,0
2015-12-29,22:00:00,55.957,56.043,55.737,55.757,6889984,0
2015-12-30,16:00:00,55.678,55.807,55.498,55.747,1707544,0
2015-12-30,17:00:00,55.757,55.983,55.707,55.875,2377021,0
2015-12-30,18:00:00,55.875,55.895,55.659,55.669,2177531,0
2015-12-30,19:00:00,55.669,55.875,55.664,55.852,1786485,0
2015-12-30,20:00:00,55.85,55.915,55.762,55.85,1779925,0
2015-12-30,21:00:00,55.845,55.935,55.816,55.853,2031539,0
2015-12-30,22:00:00,55.855,55.925,55.501,55.554,4023139,0
2015-12-31,16:00:00,55.255,55.373,54.899,55.007,2608168,0
2015-12-31,17:00:00,54.997,55.051,54.643,54.781,3363355,0
2015-12-31,18:00:00,54.781,55.077,54.741,55.031,3637052,0
2015-12-31,19:00:00,55.037,55.402,55.027,55.263,2343235,0
2015-12-31,20:00:00,55.255,55.293,55.067,55.195,1859575,0
2015-12-31,21:00:00,55.195,55.215,54.796,54.889,2850104,0
2015-12-31,22:00:00,54.889,55.057,54.673,54.701,7989242,0
2016-01-04,16:00:00,53.558,53.775,53.144,53.706,6274066,0
2016-01-04,17:00:00,53.696,53.701,52.7,52.74,8452451,0
2016-01-04,18:00:00,52.735,53.164,52.641,53.075,5976174,0
2016-01-04,19:00:00,53.075,53.203,52.907,53.18,5063752,0
2016-01-04,20:00:00,53.183,53.321,53.129,53.188,4269608,0
2016-01-04,21:00:00,53.183,53.391,53.085,53.331,4887264,0
2016-01-04,22:00:00,53.331,54.031,53.055,54.031,14903860,0
2016-01-05,16:00:00,54.159,54.553,54.002,54.258,3589830,0
2016-01-05,17:00:00,54.258,54.416,53.982,54.297,4470876,0
2016-01-05,18:00:00,54.297,54.377,54.046,54.263,3447305,0
2016-01-05,19:00:00,54.268,54.268,53.775,54.12,3591875,0
2016-01-05,20:00:00,54.13,54.416,54.011,54.333,3029415,0
2016-01-05,21:00:00,54.33,54.613,54.292,54.411,3390349,0
2016-01-05,22:00:00,54.406,54.588,54.258,54.278,9285836,0
2016-01-06,16:00:00,53.558,53.637,53.381,53.529,4945030,0
2016-01-06,17:00:00,53.519,53.543,53.292,53.446,6043812,0
2016-01-06,18:00:00,53.44,53.509,53.016,53.381,5672328,0
2016-01-06,19:00:00,53.391,53.548,53.341,53.425,2551938,0
2016-01-06,20:00:00,53.42,53.459,53.203,53.292,2850174,0
2016-01-06,21:00:00,53.292,53.479,52.888,52.992,5214880,0
2016-01-06,22:00:00,52.996,53.351,52.957,53.292,9953645,0
2016-01-07,16:00:00,51.961,52.217,51.34,51.99,8135416,0
2016-01-07,17:00:00,51.98,52.735,51.803,52.557,8729724,0
2016-01-07,18:00:00,52.557,52.582,52.05,52.109,4848794,0
2016-01-07,19:00:00,52.114,52.168,52,52.04,3090784,0
2016-01-07,20:00:00,52.037,52.089,51.591,51.704,5321706,0
2016-01-07,21:00:00,51.704,51.941,51.508,51.704,5832360,0
2016-01-07,22:00:00,51.694,52.027,51.438,51.438,16639600,0
2016-01-08,16:00:00,51.636,52.227,51.518,52.217,7739769,0
2016-01-08,17:00:00,52.217,52.36,51.684,51.764,6795469,0
2016-01-08,18:00:00,51.764,52.208,51.418,52.178,5238672,0
2016-01-08,19:00:00,52.178,52.474,52.07,52.336,4432505,0
2016-01-08,20:00:00,52.335,52.533,52.133,52.227,5767132,0
2016-01-08,21:00:00,52.237,52.306,51.99,52.089,5277925,0
2016-01-08,22:00:00,52.079,52.168,51.518,51.596,10481436,0
2016-01-11,16:00:00,51.764,52.109,51.616,51.689,3386919,0
2016-01-11,17:00:00,51.675,51.804,51.295,51.35,4397396,0
2016-01-11,18:00:00,51.35,51.842,51.28,51.665,3850190,0
2016-01-11,19:00:00,51.66,51.684,51.074,51.198,4524784,0
2016-01-11,20:00:00,51.202,51.29,50.758,50.856,4019914,0
2016-01-11,21:00:00,50.846,51.35,50.738,51.192,4479507,0
2016-01-11,22:00:00,51.192,51.852,50.956,51.566,9735751,0
2016-01-12,16:00:00,52.02,52.355,51.872,52.07,4230224,0
2016-01-12,17:00:00,52.079,52.158,51.764,51.961,4801889,0
2016-01-12,18:00:00,51.961,51.97,51.38,51.607,4197203,0
2016-01-12,19:00:00,51.616,51.823,51.33,51.537,2990879,0
2016-01-12,20:00:00,51.537,51.823,51.537,51.636,2763926,0
2016-01-12,21:00:00,51.645,52.07,51.33,52.07,4255713,0
2016-01-12,22:00:00,52.07,52.237,51.842,52.03,10126686,0
2016-01-13,16:00:00,53.045,53.312,52.981,53.144,7138141,0
2016-01-13,17:00:00,53.154,53.203,52.967,53.095,8396817,0
2016-01-13,18:00:00,53.085,53.085,52.306,52.375,9310013,0
2016-01-13,19:00:00,52.375,52.592,52.06,52.099,5791199,0
2016-01-13,20:00:00,52.099,52.217,51.448,51.537,7711441,0
2016-01-13,21:00:00,51.527,51.527,50.584,51.064,9764134,0
2016-01-13,22:00:00,51.064,51.518,50.841,50.916,14256169,0
2016-01-14,16:00:00,51.27,51.36,50.916,51.064,5058528,0
2016-01-14,17:00:00,51.054,52.03,50.846,51.734,10607180,0
2016-01-14,18:00:00,51.744,52.178,51.556,52.178,4990846,0
2016-01-14,19:00:00,52.178,52.266,51.823,51.823,4080888,0
2016-01-14,20:00:00,51.823,52.355,51.714,52.286,5060405,0
2016-01-14,21:00:00,52.288,52.612,52.109,52.542,4613664,0
2016-01-14,22:00:00,52.552,52.668,52.208,52.365,13564332,0
2016-01-15,16:00:00,50.59,51.242,50.344,50.6,10939103,0
2016-01-15,17:00:00,50.6,51.004,50.394,50.478,8661642,0
2016-01-15,18:00:00,50.482,50.6,50.156,50.334,6735440,0
2016-01-15,19:00:00,50.334,50.394,49.683,50.196,6743232,0
2016-01-15,20:00:00,50.196,50.304,49.634,50.181,7253040,0
