Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-12-07,16:00:00,767.77,768.73,763.27,763.27,131433,0
2015-12-07,17:00:00,763.08,765.06,758.7901,760.56,143675,0
2015-12-07,18:00:00,760.52,762.125,757.07,758.8199,144142,0
2015-12-07,19:00:00,758.29,758.86,756.05,756.17,75982,0
2015-12-07,20:00:00,756,762.05,755.09,760.16,129475,0
2015-12-07,21:00:00,760.14,763.28,758.18,758.36,109747,0
2015-12-07,22:00:00,758.53,764.31,758,763.25,243802,0
2015-12-08,16:00:00,757.89,759.5,754.2,755.375,157074,0
2015-12-08,17:00:00,755.51,760.659,754.8,759.5,207960,0
2015-12-08,18:00:00,759.5,762.85,759.11,762.7,161976,0
2015-12-08,19:00:00,762.235,764.2,760.1445,760.74,98066,0
2015-12-08,20:00:00,760.82,762.03,758.99,760.12,118743,0
2015-12-08,21:00:00,759.86,764.8,758.98,763.42,162359,0
2015-12-08,22:00:00,763.23,763.68,759.01,762.37,334918,0
2015-12-09,16:00:00,759.17,762.6,755.87,758.64,159362,0
2015-12-09,17:00:00,758.69,764.23,758.53,759.03,175341,0
2015-12-09,18:00:00,759.16,759.73,751.1,752.2501,215494,0
2015-12-09,19:00:00,753,755.2097,743.3,744.85,219746,0
2015-12-09,20:00:00,745.105,746.5,737.001,745,377165,0
2015-12-09,21:00:00,745.24,746.08,740.17,744.167,202912,0
2015-12-09,22:00:00,743.82,751.86,743,751.61,500818,0
2015-12-10,16:00:00,752.85,752.85,743.83,748.72,90347,0
2015-12-10,17:00:00,749.3299,755.675,747.63,753.79,253968,0
2015-12-10,18:00:00,753.73,755.275,752.21,752.82,123394,0
2015-12-10,19:00:00,752.935,753.7641,749.09,751.39,131203,0
2015-12-10,20:00:00,751.6,753.8799,750,752.515,112954,0
2015-12-10,21:00:00,752.72,755.85,751.6906,753.95,152891,0
2015-12-10,22:00:00,754.395,754.69,747.3,749.46,281122,0
2015-12-11,16:00:00,741.16,745.71,737.49,737.78,280110,0
2015-12-11,17:00:00,737.6709,745.11,737.37,740.83,240468,0
2015-12-11,18:00:00,740.73,743.97,738.97,739.16,163235,0
2015-12-11,19:00:00,739.09,740.91,736.75,738.84,167311,0
2015-12-11,20:00:00,738.81,742.41,738.35,740.8,142372,0
