Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-12-07,16:00:00,102.58,102.62,101.56,101.74,703527,0
2015-12-07,17:00:00,101.73,102.02,101.32,101.48,857253,0
2015-12-07,18:00:00,101.47,101.47,100.75,101.43,702508,0
2015-12-07,19:00:00,101.42,101.61,101.22,101.28,426140,0
2015-12-07,20:00:00,101.24,101.49,101.11,101.3,423435,0
2015-12-07,21:00:00,101.3,101.46,101.09,101.1,524361,0
2015-12-07,22:00:00,101.11,101.61,101.04,101.41,1497316,0
2015-12-08,16:00:00,100.57,101.58,100.24,101.08,732467,0
2015-12-08,17:00:00,101.08,102.23,101.08,102,992634,0
2015-12-08,18:00:00,102.01,102.54,101.83,102.01,815791,0
2015-12-08,19:00:00,102.02,102.03,101.5,101.77,581833,0
2015-12-08,20:00:00,101.79,102.01,101.41,101.76,494597,0
2015-12-08,21:00:00,101.74,102.39,101.71,102.16,712559,0
2015-12-08,22:00:00,102.17,102.35,101.92,102.02,1387004,0
2015-12-09,16:00:00,101.75,102.27,101.5,101.75,523894,0
2015-12-09,17:00:00,101.79,102.8,101.75,102.5,781994,0
2015-12-09,18:00:00,102.5,102.54,101.23,101.38,731198,0
2015-12-09,19:00:00,101.37,101.54,100.03,100.1,1041000,0
2015-12-09,20:00:00,100.11,100.72,100.07,100.48,909813,0
2015-12-09,21:00:00,100.48,100.56,100.09,100.2,694242,0
2015-12-09,22:00:00,100.17,100.65,100.15,100.45,1917272,0
2015-12-10,16:00:00,100.95,100.95,100.32,100.55,261586,0
2015-12-10,17:00:00,100.5,100.84,100.07,100.5,1210812,0
2015-12-10,18:00:00,100.5,100.71,100.37,100.59,693330,0
2015-12-10,19:00:00,100.58,100.73,100.39,100.59,604807,0
2015-12-10,20:00:00,100.59,100.71,100.41,100.66,694268,0
2015-12-10,21:00:00,100.68,101.56,100.61,101.43,1306708,0
2015-12-10,22:00:00,101.43,101.44,100.8,101.12,1906389,0
2015-12-11,16:00:00,99.87,100.96,99.48,99.54,1001459,0
2015-12-11,17:00:00,99.58,99.88,99.062,99.152,1250920,0
2015-12-11,18:00:00,99.142,99.56,99.062,99.102,670197,0
2015-12-11,19:00:00,99.102,99.122,98.213,98.479,1273944,0
2015-12-11,20:00:00,98.469,99.122,98.45,98.904,887387,0
2015-12-11,21:00:00,98.894,99.351,98.835,99.182,828928,0
2015-12-11,22:00:00,99.192,99.401,98.459,98.567,2114127,0
2015-12-14,16:00:00,98.934,99.89,98.697,99.361,821685,0
2015-12-14,17:00:00,99.381,99.65,98.509,98.875,1132292,0
2015-12-14,18:00:00,98.884,98.924,97.637,98.266,1002536,0
2015-12-14,19:00:00,98.281,98.825,98.261,98.726,1060255,0
2015-12-14,20:00:00,98.722,98.855,98.261,98.597,818165,0
2015-12-14,21:00:00,98.597,99.251,98.301,99.013,804229,0
2015-12-14,22:00:00,99.003,99.5,98.567,99.391,1431731,0
2015-12-15,16:00:00,100.68,101.94,100.39,101.69,1372765,0
2015-12-15,17:00:00,101.7,101.89,101.01,101.06,1598908,0
2015-12-15,18:00:00,101.05,101.42,100.89,101.2,981217,0
2015-12-15,19:00:00,101.2,101.83,101.17,101.6,1291792,0
2015-12-15,20:00:00,101.64,101.66,101.22,101.52,626634,0
2015-12-15,21:00:00,101.52,101.69,101.32,101.39,827410,0
2015-12-15,22:00:00,101.38,101.46,100.88,100.91,3357784,0
2015-12-16,16:00:00,102.12,102.17,101.55,101.7,702577,0
2015-12-16,17:00:00,101.68,101.78,100.76,101.25,910334,0
2015-12-16,18:00:00,101.25,101.34,100.89,101.29,538350,0
2015-12-16,19:00:00,101.32,101.74,101.26,101.44,639233,0
